controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s]
68, 429, 2.32629e+00, 9.63426e+00, 1.47939e+01, 1.47939e+01, 1.36000e+02, 1.21212e-01, 1.51843e+00, 0.00000e+00
69, 433, 2.34798e+00, 9.67701e+00, 1.57877e+01, 1.57877e+01, 1.36000e+02, 9.46882e-02, 1.72711e+00, 0.00000e+00
70, 439, 2.38052e+00, 9.72767e+00, 2.07008e+01, 2.07008e+01, 1.36000e+02, 9.56720e-02, 2.02959e+00, 0.00000e+00
71, 443, 2.40221e+00, 9.78939e+00, 2.01003e+01, 2.01003e+01, 1.36000e+02, 9.25508e-02, 2.29720e+00, 0.00000e+00
72, 451, 2.44559e+00, 9.87203e+00, 2.76883e+01, 2.76883e+01, 1.36000e+02, 1.06430e-01, 2.49930e+00, 0.00000e+00
73, 457, 2.47812e+00, 9.91472e+00, 2.84526e+01, 2.84526e+01, 1.36000e+02, 1.07221e-01, 2.39247e+00, 0.00000e+00
74, 466, 2.52693e+00, 9.92846e+00, 3.14004e+01, 3.14004e+01, 1.36000e+02, 1.15880e-01, 1.74345e+00, 0.00000e+00
75, 469, 2.54320e+00, 9.93255e+00, 3.32019e+01, 3.32019e+01, 1.36000e+02, 1.08742e-01, 1.39137e+00, 0.00000e+00
76, 478, 2.59200e+00, 9.89661e+00, 3.55493e+01, 3.55493e+01, 1.36000e+02, 1.29707e-01, 1.07010e+00, 0.00000e+00
77, 481, 2.60827e+00, 9.84679e+00, 3.12367e+01, 3.12367e+01, 1.36000e+02, 1.33056e-01, 9.07882e-01, 0.00000e+00
78, 485, 2.62996e+00, 9.80280e+00, 3.13458e+01, 3.13458e+01, 1.36000e+02, 1.48454e-01, 8.85038e-01, 0.00000e+00
79, 489, 2.65165e+00, 9.77238e+00, 3.20555e+01, 3.20555e+01, 1.36000e+02, 2.00409e-01, 8.50228e-01, 0.00000e+00
80, 496, 2.68961e+00, 9.75126e+00, 3.33111e+01, 3.33111e+01, 1.36000e+02, 2.90323e-01, 8.28588e-01, 0.00000e+00
81, 501, 2.71672e+00, 9.73885e+00, 3.54401e+01, 3.54401e+01, 1.36000e+02, 3.39321e-01, 8.71703e-01, 0.00000e+00
82, 507, 2.74925e+00, 9.72804e+00, 3.68594e+01, 3.68594e+01, 1.36000e+02, 3.82643e-01, 9.48051e-01, 0.00000e+00
83, 511, 2.77094e+00, 9.72085e+00, 3.93706e+01, 3.93706e+01, 1.36000e+02, 4.07045e-01, 9.48863e-01, 0.00000e+00
84, 517, 2.80348e+00, 9.70650e+00, 4.04511e+01, 4.04511e+01, 1.36000e+02, 4.37137e-01, 9.85326e-01, 0.00000e+00
85, 523, 2.83602e+00, 9.69711e+00, 4.15429e+01, 4.15429e+01, 1.36000e+02, 4.53155e-01, 1.00432e+00, 0.00000e+00
86, 532, 2.88482e+00, 9.67895e+00, 4.32352e+01, 4.32352e+01, 1.36000e+02, 4.64286e-01, 1.16808e+00, 0.00000e+00
87, 538, 2.91735e+00, 9.67124e+00, 4.67836e+01, 4.67836e+01, 1.36000e+02, 4.77695e-01, 1.15949e+00, 0.00000e+00
88, 546, 2.96073e+00, 9.66463e+00, 4.65652e+01, 4.65652e+01, 1.36000e+02, 5.05495e-01, 1.23368e+00, 0.00000e+00
89, 552, 2.99327e+00, 9.66388e+00, 4.83121e+01, 4.83121e+01, 1.36000e+02, 5.18116e-01, 1.23979e+00, 0.00000e+00
90, 558, 3.02581e+00, 9.65277e+00, 4.81483e+01, 4.81483e+01, 1.36000e+02, 5.32258e-01, 1.27796e+00, 0.00000e+00
91, 563, 3.05292e+00, 9.64564e+00, 5.01135e+01, 5.01135e+01, 1.36000e+02, 5.50622e-01, 1.31337e+00, 0.00000e+00
92, 570, 3.09088e+00, 9.62985e+00, 5.07140e+01, 5.07140e+01, 1.36000e+02, 5.54386e-01, 1.29049e+00, 0.00000e+00
93, 573, 3.10714e+00, 9.62449e+00, 5.25155e+01, 5.25155e+01, 1.36000e+02, 5.70681e-01, 1.38884e+00, 0.00000e+00
94, 578, 3.13426e+00, 9.61441e+00, 5.54088e+01, 5.54088e+01, 1.36000e+02, 5.79585e-01, 1.33858e+00, 0.00000e+00
95, 583, 3.16137e+00, 9.60331e+00, 5.74832e+01, 5.74832e+01, 1.36000e+02, 6.00343e-01, 1.37895e+00, 0.00000e+00
96, 588, 3.18848e+00, 9.60437e+00, 5.91209e+01, 5.91209e+01, 1.36000e+02, 6.15646e-01, 1.41841e+00, 0.00000e+00
97, 594, 3.22102e+00, 9.59241e+00, 6.04856e+01, 6.04856e+01, 1.36000e+02, 6.24579e-01, 1.35309e+00, 0.00000e+00
98, 601, 3.25898e+00, 9.58492e+00, 6.26692e+01, 6.26692e+01, 1.36000e+02, 6.33943e-01, 1.39914e+00, 0.00000e+00
99, 608, 3.29694e+00, 9.57482e+00, 6.44161e+01, 6.44161e+01, 1.36000e+02, 6.36513e-01, 1.44599e+00, 0.00000e+00
100, 614, 3.32947e+00, 9.56680e+00, 6.70910e+01, 6.70910e+01, 1.36000e+02, 6.44951e-01, 1.41590e+00, 0.00000e+00
101, 619, 3.35658e+00, 9.56362e+00, 7.01480e+01, 7.01480e+01, 1.36000e+02, 6.54281e-01, 1.47485e+00, 0.00000e+00
102, 626, 3.39454e+00, 9.55420e+00, 7.05848e+01, 7.05848e+01, 1.36000e+02, 6.67732e-01, 1.48959e+00, 0.00000e+00
