controller=global horizon=1 threshold=0.1
step[s], count, density[car/km], speed[m/s], hamiltonian, xterm, sigmaterm, waiting rate, co2[kg/s], calc time, effective time
47, 200, 2.53253e+00, 9.62286e+00, 4.17339e+00, 4.17339e+00, -1.80000e+01, 3.75000e-01, 5.02135e-01, 2.80299e-02, 2.80299e-02
48, 205, 2.59584e+00, 9.61377e+00, 4.41724e+00, 4.41724e+00, -1.80000e+01, 3.85366e-01, 5.14604e-01, 2.80299e-02, 2.80299e-02
49, 209, 2.64649e+00, 9.60076e+00, 4.64948e+00, 4.64948e+00, -1.80000e+01, 3.92344e-01, 5.15370e-01, 2.80299e-02, 2.80299e-02
50, 210, 2.65915e+00, 9.58168e+00, 4.90494e+00, 4.90494e+00, -1.80000e+01, 3.90476e-01, 5.09088e-01, 2.80299e-02, 2.80299e-02
51, 216, 2.73513e+00, 9.53470e+00, 5.06751e+00, 5.06751e+00, -1.80000e+01, 4.16667e-01, 5.25530e-01, 2.80299e-02, 2.80299e-02
52, 220, 2.78578e+00, 9.53022e+00, 5.09073e+00, 5.09073e+00, -1.80000e+01, 4.00000e-01, 5.89509e-01, 2.80299e-02, 2.80299e-02
53, 224, 2.83643e+00, 9.52317e+00, 5.34619e+00, 5.34619e+00, -1.80000e+01, 4.15179e-01, 5.49550e-01, 2.80299e-02, 2.80299e-02
54, 228, 2.88708e+00, 9.51499e+00, 5.43909e+00, 5.43909e+00, -1.80000e+01, 4.25439e-01, 5.75628e-01, 2.80299e-02, 2.80299e-02
55, 231, 2.92507e+00, 9.48427e+00, 5.36942e+00, 5.36942e+00, -1.80000e+01, 4.50216e-01, 5.84122e-01, 2.80299e-02, 2.80299e-02
56, 235, 2.97572e+00, 9.48441e+00, 5.61327e+00, 5.61327e+00, -1.80000e+01, 4.59574e-01, 5.62154e-01, 2.80299e-02, 2.80299e-02
57, 239, 3.02637e+00, 9.48821e+00, 5.96163e+00, 5.96163e+00, -1.80000e+01, 4.81172e-01, 6.06280e-01, 2.80299e-02, 2.80299e-02
58, 245, 3.10235e+00, 9.46690e+00, 6.01969e+00, 6.01969e+00, -1.80000e+01, 4.93878e-01, 5.88633e-01, 2.80299e-02, 2.80299e-02
59, 249, 3.15300e+00, 9.45681e+00, 6.29837e+00, 6.29837e+00, -1.80000e+01, 4.85944e-01, 6.15300e-01, 2.80299e-02, 2.80299e-02
60, 251, 3.17832e+00, 9.45294e+00, 0.00000e+00, 0.00000e+00, 3.80000e+01, 4.82072e-01, 6.07759e-01, 3.07148e-02, 3.07148e-02
61, 255, 3.22897e+00, 9.44982e+00, 6.70479e+00, 6.70479e+00, 3.80000e+01, 5.13725e-01, 6.24993e-01, 3.07148e-02, 3.07148e-02
62, 260, 3.29229e+00, 9.43507e+00, 6.79768e+00, 6.79768e+00, 3.80000e+01, 5.26923e-01, 6.07267e-01, 3.07148e-02, 3.07148e-02
63, 263, 3.33027e+00, 9.42133e+00, 6.57706e+00, 6.57706e+00, 3.80000e+01, 5.24715e-01, 6.21519e-01, 3.07148e-02, 3.07148e-02
64, 269, 3.40625e+00, 9.40303e+00, 6.49577e+00, 6.49577e+00, 3.80000e+01, 5.31599e-01, 6.70208e-01, 3.07148e-02, 3.07148e-02
65, 272, 3.44424e+00, 9.39000e+00, 6.76285e+00, 6.76285e+00, 3.80000e+01, 5.33088e-01, 6.55645e-01, 3.07148e-02, 3.07148e-02
66, 276, 3.49489e+00, 9.35510e+00, 6.78607e+00, 6.78607e+00, 3.80000e+01, 5.54348e-01, 6.30412e-01, 3.07148e-02, 3.07148e-02
67, 282, 3.57086e+00, 9.08768e+00, 3.12011e+00, 3.12011e+00, 3.80000e+01, 2.90780e-01, 7.44610e-01, 3.07148e-02, 3.07148e-02
68, 287, 3.63418e+00, 9.18703e+00, 3.20140e+00, 3.20140e+00, 3.80000e+01, 1.46341e-01, 8.85291e-01, 3.07148e-02, 3.07148e-02
69, 289, 3.65950e+00, 9.25207e+00, 3.46641e+00, 3.46641e+00, 3.80000e+01, 9.34256e-02, 9.76820e-01, 3.07148e-02, 3.07148e-02
70, 288, 3.64684e+00, 9.37250e+00, 3.00988e+00, 3.00988e+00, 3.80000e+01, 8.68056e-02, 1.10140e+00, 3.07148e-02, 3.07148e-02
71, 294, 3.72282e+00, 9.43718e+00, 3.11806e+00, 3.11806e+00, 3.80000e+01, 9.52381e-02, 1.19222e+00, 3.07148e-02, 3.07148e-02
72, 297, 3.76080e+00, 9.56270e+00, 4.12829e+00, 4.12829e+00, 3.80000e+01, 9.09091e-02, 1.32476e+00, 3.07148e-02, 3.07148e-02
73, 300, 3.79879e+00, 9.63337e+00, 4.17474e+00, 4.17474e+00, 3.80000e+01, 9.00000e-02, 1.28796e+00, 3.07148e-02, 3.07148e-02
74, 301, 3.81145e+00, 9.72122e+00, 4.62761e+00, 4.62761e+00, 3.80000e+01, 9.30233e-02, 1.18494e+00, 3.07148e-02, 3.07148e-02
75, 307, 3.88743e+00, 9.75495e+00, 4.87146e+00, 4.87146e+00, 3.80000e+01, 1.07492e-01, 1.00590e+00, 3.07148e-02, 3.07148e-02
76, 310, 3.92542e+00, 9.77390e+00, 5.11189e+00, 5.11189e+00, 3.80000e+01, 1.06452e-01, 9.87656e-01, 3.07148e-02, 3.07148e-02
77, 316, 4.00139e+00, 9.77010e+00, 5.56476e+00, 5.56476e+00, 3.80000e+01, 1.23418e-01, 8.14134e-01, 3.07148e-02, 3.07148e-02
78, 321, 4.06471e+00, 9.75222e+00, 5.76216e+00, 5.76216e+00, 3.80000e+01, 1.24611e-01, 7.67295e-01, 3.07148e-02, 3.07148e-02
79, 323, 4.09003e+00, 9.75446e+00, 5.82022e+00, 5.82022e+00, 3.80000e+01, 1.23839e-01, 7.40613e-01, 3.07148e-02, 3.07148e-02
80, 329, 4.16601e+00, 9.75062e+00, 5.88101e+00, 5.88101e+00, 3.80000e+01, 1.51976e-01, 8.03880e-01, 3.07148e-02, 3.07148e-02
81, 333, 4.21666e+00, 9.74623e+00, 5.85779e+00, 5.85779e+00, 3.80000e+01, 1.50150e-01, 7.84605e-01, 3.07148e-02, 3.07148e-02
82, 335, 4.24198e+00, 9.73542e+00, 5.86940e+00, 5.86940e+00, 3.80000e+01, 1.52239e-01, 7.60161e-01, 3.07148e-02, 3.07148e-02
83, 339, 4.29263e+00, 9.70505e+00, 6.09003e+00, 6.09003e+00, 3.80000e+01, 1.65192e-01, 7.33563e-01, 3.07148e-02, 3.07148e-02
84, 338, 4.27997e+00, 9.64618e+00, 5.78812e+00, 5.78812e+00, 3.80000e+01, 1.59763e-01, 6.74859e-01, 3.07148e-02, 3.07148e-02
85, 340, 4.30530e+00, 9.58546e+00, 5.80238e+00, 5.80238e+00, 3.80000e+01, 1.70588e-01, 7.21067e-01, 3.07148e-02, 3.07148e-02
86, 340, 4.30530e+00, 9.54699e+00, 6.55715e+00, 6.55715e+00, 3.80000e+01, 1.94118e-01, 7.20931e-01, 3.07148e-02, 3.07148e-02
87, 344, 4.35595e+00, 9.49326e+00, 6.63843e+00, 6.63843e+00, 3.80000e+01, 2.15116e-01, 6.89382e-01, 3.07148e-02, 3.07148e-02
88, 345, 4.36861e+00, 9.45365e+00, 6.95196e+00, 6.95196e+00, 3.80000e+01, 2.57971e-01, 6.85398e-01, 3.07148e-02, 3.07148e-02
89, 345, 4.36861e+00, 9.43395e+00, 7.04485e+00, 7.04485e+00, 3.80000e+01, 2.92754e-01, 7.53002e-01, 3.07148e-02, 3.07148e-02
90, 349, 4.41926e+00, 9.42783e+00, 7.33515e+00, 7.33515e+00, 3.80000e+01, 3.12321e-01, 7.12376e-01, 3.07148e-02, 3.07148e-02
91, 352, 4.45725e+00, 9.40738e+00, 7.36999e+00, 7.36999e+00, 3.80000e+01, 3.29545e-01, 7.53829e-01, 3.07148e-02, 3.07148e-02
92, 358, 4.53322e+00, 9.37563e+00, 7.62545e+00, 7.62545e+00, 3.80000e+01, 3.57542e-01, 7.13759e-01, 3.07148e-02, 3.07148e-02
93, 361, 4.57121e+00, 9.35751e+00, 7.76479e+00, 7.76479e+00, 3.80000e+01, 3.60111e-01, 8.07377e-01, 3.07148e-02, 3.07148e-02
94, 365, 4.62186e+00, 9.36310e+00, 8.13637e+00, 8.13637e+00, 3.80000e+01, 3.78082e-01, 9.01556e-01, 3.07148e-02, 3.07148e-02
95, 369, 4.67251e+00, 9.38520e+00, 8.40345e+00, 8.40345e+00, 3.80000e+01, 3.87534e-01, 8.31507e-01, 3.07148e-02, 3.07148e-02
96, 373, 4.72316e+00, 9.38883e+00, 8.97243e+00, 8.97243e+00, 3.80000e+01, 3.96783e-01, 8.25502e-01, 3.07148e-02, 3.07148e-02
97, 376, 4.76115e+00, 9.40196e+00, 9.49497e+00, 9.49497e+00, 3.80000e+01, 4.04255e-01, 9.16997e-01, 3.07148e-02, 3.07148e-02
